Customer,FR_Intake,TP_Intake,DFL_Intake,Register_update_intake,Total_intake,FR_Output,TP_Output,DFL_Output,Register_update_output,Total_output,FR_requests_for_information,TP_requests_for_information,DFL_requests_for_information,Register_update_requests_for_information,Total_requests_for_information
"Legal Aid Agency","0","0","0","1357","1357","0","0","0","1353","1353","0","0","0","12","12"
"Lester Aldridge LLP","9","85","40","1359","1493","3","18","19","1092","1132","2","15","11","364","392"
"Levi Solicitors LLP","12","13","22","610","657","13","8","29","655","705","7","3","21","239","270"
"Lgss Law LTD","5","3","0","384","392","5","3","2","243","253","0","2","2","9","13"
"Lightfoots","8","88","24","2568","2688","12","42","38","2483","2575","11","31","33","468","543"
"Linklaters LLP","0","8","0","491","499","2","2","1","536","541","2","1","1","5","9"
"Lloyds Bank PLC","0","0","0","7153","7153","0","0","0","7045","7045","0","0","0","22","22"
"Lockings","23","92","27","762","904","12","40","16","614","682","5","30","12","176","223"
"Lowell Solicitors Limited","0","0","0","563","563","0","0","0","243","243","0","0","0","8","8"
"Lyons Bowe Solicitors","19","17","64","513","613","10","15","14","372","411","7","13","9","161","190"
"Machins","12","17","26","316","371","2","12","11","325","350","1","10","6","74","91"
"Magdalene Haywood T/A Keystone Law","4","66","25","395","490","2","49","13","331","395","1","38","8","115","162"
"Malcolm C Foy & Co Limited","13","9","260","256","538","5","5","62","218","290","3","5","57","76","141"
"Marcus Baum","19","39","28","633","719","9","17","8","483","517","5","14","7","198","224"
"Marsden Rawsthorn LLP","30","14","53","580","677","25","10","20","503","558","18","7","14","255","294"
"Martin Tolhurst Partnership LLP","8","49","57","1137","1251","11","24","28","1143","1206","4","17","22","354","397"
"Martin-Kaye","16","7","24","427","474","12","5","18","498","533","6","4","12","119","141"
"Mason Baggott & Garton","27","2","33","312","374","18","1","17","325","361","10","1","12","116","139"
"Matini Montecristo Solicitors","0","240","3","310","553","1","28","2","48","79","1","23","2","12","38"
"Matthew Montgomery & Co","1","13","101","304","419","4","7","51","212","274","2","4","31","68","105"
"Mayo Wynne Baxter","9","60","36","471","576","9","24","25","364","422","6","17","16","102","141"
"McCarthy Bennett Holland","20","7","24","311","362","7","1","14","253","275","4","1","10","117","132"
"McMillan Williams","18","294","159","2253","2724","8","100","33","2020","2161","6","75","20","820","921"
"Metcalfe Copeman & Pettefar","24","9","42","399","474","16","6","38","400","460","13","2","25","135","175"
"MFG Solicitors","54","58","78","652","842","34","21","31","533","619","18","16","19","161","214"
"Michelmores LLP","14","52","140","496","702","16","25","89","329","459","7","18","63","102","190"
"Mike Judge","0","0","0","366","366","0","0","0","263","263","0","0","0","25","25"
"Mills & Reeve LLP","21","46","18","737","822","15","26","9","907","957","9","15","8","101","133"
"Mincoffs Solicitors LLP","9","24","25","404","462","4","13","18","423","458","2","10","12","101","125"
"Mishcon De Reya","0","23","1","452","476","0","4","4","382","390","0","3","0","83","86"
